units = {
	##### NAVAL UNITS #####
	fleet = {
		name = "Regna Marina"			
		naval_base = 11837 # Taranto
		task_force = {
			name = "Regna Marina"
			location = 11837 # Taranto

			#BB
			ship = { name = "Conte di Cavour" definition = battleship start_experience_factor = 0.3 equipment = { ship_hull_heavy_1 = { amount = 1 owner = ITA version_name = "Conte di Cavour-Class" } } }
			ship = { name = "Giulio Cesare" definition = battleship start_experience_factor = 0.3 equipment = { ship_hull_heavy_1 = { amount = 1 owner = ITA version_name = "Conte di Cavour-Class" } } }
			ship = { name = "Duilio" definition = battleship start_experience_factor = 0.3 equipment = { ship_hull_heavy_2 = { amount = 1 owner = ITA version_name = "Duilio-Class"} } }
			ship = { name = "Andrea Doria" definition = battleship start_experience_factor = 0.3 equipment = { ship_hull_heavy_2 = { amount = 1 owner = ITA version_name = "Duilio-Class"} } }
			#ship = { name = "Littorio" definition = battleship start_experience_factor = 0.3 equipment = { ship_hull_heavy_2 = { amount = 1 owner = ITA version_name = "Vittorio Veneto (Littorio)-Class"} } }
			#ship = { name = "Vittorio Veneto" pride_of_the_fleet = yes definition = battleship start_experience_factor = 0.3 equipment = { ship_hull_heavy_2 = { amount = 1 owner = ITA version_name = "Vittorio Veneto (Littorio)-Class"} } }
			
			#CA
			ship = { name = "Trento" definition = heavy_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Trento-class" } } }
			ship = { name = "Trieste" definition = heavy_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Trento-class" } } }
			ship = { name = "Zara" definition = heavy_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Zara-class" } } }
			ship = { name = "Fiume" definition = heavy_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Zara-class" } } }
			ship = { name = "Pola" definition = heavy_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Zara-class" } } }
			ship = { name = "Gorizia" definition = heavy_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Zara-class" } } }
			ship = { name = "Bolzano" definition = heavy_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Zara-class" } } }
			
			#CL2
			ship = { name = "RI Luigi Cadorna" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Condottieri-class" } } }
			ship = { name = "RI Armando Diaz" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Condottieri-class" } } }
			ship = { name = "RI Emanuele Filiberto Duca d'Aosta" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Condottieri-class" } } }
			ship = { name = "RI Eugenio di Savoia" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Condottieri-class" } } }
			ship = { name = "RI Muzio Attendolo" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Condottieri-class" } } }
			ship = { name = "RI Raimondo Montecuccoli" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Condottieri-class" } } }
			ship = { name = "RI Luigi di Savoia Duca degli Abruzzi" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Condottieri-class" } } }
			ship = { name = "RI Giuseppe Garibaldi" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Condottieri-class" } } }
			ship = { name = "RI Alberico da Barbiano" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Giussano-class" } } }
			ship = { name = "RI Alberto di Giussano" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Giussano-class" } } }
			ship = { name = "RI Giovanni dalle Bande Nere" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Giussano-class" } } }
			ship = { name = "RI Bartolomeo Colleoni" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_2 = { amount = 1 owner = ITA version_name = "Giussano-class" } } }
			
			#CL1
			ship = { name = "RI Taranto" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = ITA version_name = "Magdeburg Klasse (1910)" } } }
			ship = { name = "RI Bari" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = ITA version_name = "Pillau Klasse (1913)" } } }


			#DD2
			ship = { name = "RCT Dardo" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Freccia" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Saetta" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Strale" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Baleno" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Folgore" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Fulmine" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Lampo" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Maestrale" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Grecale" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Libeccio" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Scirocco" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Astore" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 
			ship = { name = "RCT Spica" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_2 = { amount = 1 owner = ITA version_name = "Maestrale-class" } } } 

			#DD1
			ship = { name = "RCT Espero" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Borea" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Zeffiro" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Ostro" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Bettino Ricasoli" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Giovanni Nicotera" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Rosolino Pilo" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Giuseppe Missori" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Francesco Stocco" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
